"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Navachaithanya Rehab and Physiotherapy Centre","<","","4.7","21 Ratings","Bm Road, Hassan","","08460307002","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.518Z"
"Madhu Physiotherapy Clinic","<","","4.9","6 Ratings","Arasikere Arsikere, Hassan","","08971651846","",true,true,false,true,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.518Z"
"Supreetha Physiotherapy Centre","<","","5.0","11 Ratings","Kr Puram MG Road Hassan, Hassan","","7947147236","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.518Z"
"Thyrocare Aarogyam Centre","<","","4.4","13 Ratings","Mutt Road Kr Puram Hassan, Hassan","","7947138477","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.519Z"
"Thyrocare Aarogyam Centre","<","","3.0","2 Ratings","Ashwini Centre Arsikere, Hassan","","7947138292","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.519Z"
"Ceracare Chikkamagalure","<","","3.3","6 Ratings","Km Road Joythinagar, Chikmagalur","","","",false,true,false,false,false,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.519Z"
"Sparsha Naturopathy Hospital","<","","4.7","41 Ratings","Basavanahalli Chikmagalur, Chikmagalur","","7947436209","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.519Z"
"Svasti Physio Kushalnagar","<","","4.4","5 Ratings","Kushalnagar Mullusoge, Coorg","","","",false,true,false,false,false,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.519Z"
"Sapthagiri Physiotherapy Clinic","<","","4.0","5 Ratings","Mangalore Road Kushalnagar, Coorg","","7942684997","",true,true,false,false,false,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.520Z"
"Coorg Physiotherapy","<","","4.9","24 Ratings","Kushalnagar Kushalnagar, Coorg","","","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.520Z"
"Sure Cure Physiotherapy And Manualtherapy Centre","+","","5.0","28 Ratings","Puranik Layout Kushalnagar, Coorg","","","",true,false,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.520Z"
"Sangams Physiotherapy And Fitness Clinic","","","4.7","17 Ratings","2nd Cross End Anegere, Chikmagalur","","07383110118","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.520Z"
"Ekadantha Physiothe","","","4.0","2 Ratings","Bazaar Road Krishna Raja Nagar, Mysore","","","",true,true,false,false,false,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.520Z"
"Alleviate Centre","","","5.0","2 Ratings","Temple Road Madikeri, Coorg","","","",true,true,false,false,false,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.520Z"
"Sure Cure Physiotherapy And Manual Therapy Centre","+","","5.0","1 Ratings","Kohinoor Road Madikeri, Coorg","","","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.521Z"
"Evolve Physiotherapy And Rehab Clinic","","","4.9","23 Ratings","Hebbal, Mysore","","","",true,true,false,false,false,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.521Z"
"Savanur Sharpinsight Aarogya Plus Physiotherapy Centre","+","","4.8","18 Ratings","Savanur Puttur, Puttur","","","",true,true,false,false,true,"Health and Medical","Hassan - Book Appointment Online","Physiotherapy Centres","573201","2025-06-28T14:12:30.521Z"
