"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Pruthvi Theater","<","","4.3","98 Ratings","Bm Road, Hassan","","7337672908","Cinema Halls",true,false,false,true,true,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.966Z"
"Sri Guru Theatre","<","","3.4","1,310 Ratings","Bm Road, Hassan","","94836990144","Cinema Halls;Hindi Movies",true,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.966Z"
"SBG Theater","<","","3.9","2,167 Ratings","Rangoli Halla Harshamahal Road, Hassan","","8095808830","Cinema Halls;Kannada Movies",true,false,false,false,true,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.966Z"
"Balaji Theater","<","","3.1","233 Ratings","Channarayapatna, Hassan","","","Cinema Halls",false,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.966Z"
"Sri Renuka Talkies","<","","3.9","417 Ratings","Sri Devanga Street Belur, Belur","","9449667916","Cinema Halls;Multiplex Cinema Halls",true,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.966Z"
"Chennambika Theatre","<","","4.5","50 Ratings","Sh 57 Kadavinakote Hantha, Hassan","","","Cinema Halls",false,false,false,false,true,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Channabika Theater","<","","4.2","633 Ratings","Kadavinakote Hantha Holenarsipur, Hassan","","9164057075","Cinema Halls",true,false,false,false,true,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Gayathri Theatre","<","","3.7","446 Ratings","Renukamba Road Channarayapatna, Hassan","","9964252262","Cinema Halls",true,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Sayadri Theater","<","","3.5","279 Ratings","Penshan Mohalla Bm Road, Hassan","","9844258891","Cinema Halls",false,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Sadana Theatre","<","","3.4","81 Ratings","Saraswathipuram Arsikere, Hassan","","","Cinema Halls",false,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Sri Manjunatha Chitramandira","","","4.4","30 Ratings","Keralapura, Hassan","","","Cinema Halls",true,false,false,false,true,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Sln Theater","+","","3.5","279 Ratings","Holenarsipur, Hassan","","","Cinema Halls",false,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.967Z"
"Picture Palace Theatre","","","3.5","263 Ratings","Bus Bus Stand Road Hassan, Hassan","","9740124333,9448913035","Cinema Halls;Kannada Movies",true,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.968Z"
"Dhanalakshmi Theater","","","3.3","20 Ratings","Bus Stand Road Channarayapatna, Hassan","","","Cinema Halls",false,false,false,false,false,"Entertainment and Media","Hassan","Movie Theaters","573201","2025-06-27T09:29:48.968Z"
