"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Sri Maruthi Water Tank Cleaning","<","","4.8","114 Ratings","Satya Mangala Aralepet, Hassan","","8217383251,7483594879","Water Tank Cleaning Services;Cleaning Services",true,true,false,true,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.138Z"
"Home Deep Cleaning Solution Services","<","","4.5","2 Ratings","Salagame Road, Hassan","","06366789675","Foam Cleaning",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.138Z"
"Hasanamba Water Tank Cleaning Services","<","","4.6","71 Ratings","Main Road Vidyanagar Hassan, Hassan","","07411588207","Water Tank Cleaning Services;Cleaning Services",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.139Z"
"Anu Pest Control","<","","4.9","23 Ratings","Bus Bus Stand Road Hassan, Hassan","","07041546598","Cleaning Services;Pest Control Services",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.139Z"
"Rapid Cleaning Solutions","<","","5.0","2 Ratings","Belur Road Thanniruhalla, Hassan","","08460231657","Septic Tank Cleaning Services;Cleaning Services",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.139Z"
"Pitgundi Cleaning Sanitizer Muttanna","<","","4.0","8 Ratings","No #0 Belluru, Hassan","","08460406452","Toilet Cleaning Services;Cleaning Services",true,true,false,true,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.139Z"
"Sri Vinayaka Water Tank Cleaning Services","<","","5.0","5 Ratings","MG Road Hassan, Hassan","","08050092040","Water Tank Cleaning Services;Cleaning Services",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.139Z"
"Sri Ganapa Water Tank Cleaning Service","<","","5.0","3 Ratings","Udayagiri, Hassan","","7942696347","Water Tank Cleaning Services;Cleaning Services",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.140Z"
"Smart Hassan Water Tank Cleaning Services","<","","4.8","10 Ratings","MG Road Hassan, Hassan","","7947139578","",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.140Z"
"Pitgundi Cleaning Sanitizer Muttanna","<","","4.3","8 Ratings","Hassan Hassan City, Hassan","","7947115475","Residential Cleaning Services;Cleaning Services",true,true,false,false,true,"Home Services","Hassan","Cleaners","573201","2025-06-28T14:28:50.140Z"
