"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Jeevan Super Bazaar","<","","4.8","4 Ratings","Arsikere Main Road Hassan, Hassan","","7942696011","Home Delivery",true,false,false,true,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.259Z"
"Sri Ranga Traders","<","","4.7","10 Ratings","Hosaline Road Santhepet, Hassan","","7947116370","Home Delivery",true,false,false,true,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.259Z"
"Vishal Mega Mart","<","","3.7","3,187 Ratings","Main Ring Road Jaya Nagar, Hassan","","7947106703","",true,false,false,false,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.259Z"
"Reliance Smart","<","","3.9","1,965 Ratings","Shankarmutt Road Kr Puram Hassan, Hassan","","7947118812","",false,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.260Z"
"More Supermarket","<","","4.1","873 Ratings","M G Road Hassan City, Hassan","","7947152927","Home Delivery;Delivery Available;In Store Collect",true,false,false,false,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.260Z"
"Friendly Bazaar","<","","4.3","385 Ratings","Belur Road Hassan Belur Road, Hassan","","7947107058","Home Delivery;Same Day Delivery;Shop In Store",true,false,false,true,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.260Z"
"Sai Baba Stores","<","","4.0","87 Ratings","Road Basettikoppal Main Road, Hassan","","","Same Day Delivery;Shop In Store",false,false,false,false,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.260Z"
"Srinivasa HP Gas Distributors","<","","4.7","65 Ratings","6th Cross Road Indra Nagara, Hassan","","7942694291","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.260Z"
"Nehru Butter Store","<","","4.0","60 Ratings","Ammeer Mohalla Ammeer Mohalla, Hassan","","","Departmental Stores",false,false,false,false,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Modicare Dp Bittagowdanahally","<","","3.9","43 Ratings","Gorur Road Mosalhosahalli, Hassan","","","Departmental Stores",false,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Vijayalakshmi Ventures","+","","4.0","34 Ratings","Salagame Road Salagame Road, Hassan","","7947153052","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Janatha Bazar","","","3.7","29 Ratings","2nd Main Road Kuvempu Nagar, Hassan","","","Departmental Stores",false,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Khalandariya Timber Traders","","","4.1","25 Ratings","Penshan Mohalla Pension Mohalla, Hassan","","","Timber Dealers;Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Keerthi Stores","","","4.0","25 Ratings","Arehalli Hassan, Hassan","","","Rice Retailers;Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Ranganatha Store","","","4.1","24 Ratings","Indra Nagara, Hassan","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Sri Ranga Traders","","","4.9","20 Ratings","Halli Mysore, Hassan","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Surya Stores","","","3.8","25 Ratings","Subhash Square, Hassan","","","",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Sri Bhairaveshwara Provision Store","","","4.7","18 Ratings","Mysore Road Sravanur, Hassan","","","Home Delivery",true,false,false,false,true,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Vodafone Mini Store Elite Info","","","3.5","24 Ratings","St Mary's Church Colony Arsikere, Hassan","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Lakshmi Paints And Hardwares","","","4.6","18 Ratings","Belur","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Manzrabad Handicrafts","+","","4.9","11 Ratings","Anemahal Bandadka Bengaluru Road, Sakleshpur","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Rajanna.Arakere.Bambu Worker","","","3.8","11 Ratings","Sorekayipura Sabbanahalli, Hassan","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Sri Vinayaka Paints And Hardware","+","","4.4","9 Ratings","Mangalore Road Ammeer Mohalla, Hassan","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
"Sneha Provision Store","","","3.8","10 Ratings","Hassan","","","Departmental Stores",true,false,false,false,false,"Shopping and Retail","Hassan","Department Stores","573201","2025-06-28T15:35:54.261Z"
