"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Agrim Kennel","<","","4.3","62 Ratings","Asrikere Road Bm Road, Hassan","","09054458049","Pet Care;Pet Grooming;Pets Available",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Hassanamba Kennel and Pet Shop","<","","4.2","106 Ratings","Bypass Road Mysore Road Hassan, Hassan","","7947132915","Same Day Delivery;Shop In Store;Pet Care",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Dinesh Nb","<","","4.3","23 Ratings","Aralikatte Road Salagame Road, Hassan","","7947436011","Shop In Store;Pets Available",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Amrutha Vet Pharma","<","","4.6","5 Ratings","Amrutha Vet Pharma Salagame Road, Hassan","","7947137663","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Praba Pai Kennels","<","","2.8","2 Ratings","Tacis Road Kr Puram Hassan, Hassan","","7942690930","",true,true,false,false,false,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Belagur's Pet Shop And Clinic","<","","4.3","70 Ratings","Bh Road Tiptur, Tumkur","","7947149867","Veterinary Surgeries;Major and Minor Surgery;Pet Boarding",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Amith Kennels","<","","3.2","21 Ratings","Nagara District Field Road, Chikmagalur","","7947123869","Pet Care;Pets Available",true,true,false,false,false,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.861Z"
"Keerthi Aquarium And Digital Studio","<","","3.8","11 Ratings","Naidu Street, Chikmagalur","","7947424511","Aquariums;Fish Tank Dealers",true,true,false,false,false,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"I Pets","<","","4.0","9 Ratings","Mallandur Road, Chikmagalur","","","Pet Boarding;Pets Available;Pet Grooming",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Kaveri PET Choice","<","","3.5","15 Ratings","Bm Road Kushalnagar, Coorg","","","Pets Available",true,true,false,false,false,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"PRAJWAL PETS","+","","4.6","39 Ratings","Extension Krishna Raja Nagar, Mysore","","","Shop In Store;Same Day Delivery;Pets Available",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Shankara Dog World","+","","4.3","44 Ratings","Halli Main Road Heggere, Tumkur","","07383805852","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Belli Kennels","+","","4.9","7 Ratings","Mg Road Tarikere, Chikmagalur","","08867891459","Pets Available",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Pets Park","+","","4.1","10 Ratings","M G Koppal Main Road Hebbal, Mysore","","","Pets Available;Pet Food Available;Pet Accessories Available",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Shree Pet Clinic","+","","4.7","939 Ratings","2nd Phase Vijaynagar 4th Stage, Mysore","","","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Chandra K9 Working Dogs","","","4.6","9 Ratings","Hunsur Taluk Dharmapura, Mysore","","","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Pooch Palace","+","","4.9","81 Ratings","Bogadi Main Road Bhogadi, Mysore","","09035153280","Pet Grooming;Pet Boarding",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"East Hills Veterinary Clinic","+","","4.5","140 Ratings","Contour Road Gokulam, Mysore","","","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Sri Kalabhairava Medical and Pet Shopee","+","","4.9","14 Ratings","Bogadi Ring Road Rajajinagar, Mysore","","","Same Day Delivery;Pet Care;Pet Grooming",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Dinesh and Dane's Kennels","+","","4.3","6 Ratings","Niveditha Nagar, Mysore","","","Pet Boarding",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"D K9 Dog Training And Socialization Service","+","","4.7","102 Ratings","Double Road Kuvempunagar, Mysore","","","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Rajkamal Kennels","+","","3.8","177 Ratings","Nrupatunga Road Kuvempunagar, Mysore","","","Pet Care;Pet Food Available;Pets Available",true,true,false,false,false,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Chandan Veterinary Clinic","+","","4.4","471 Ratings","Kuvempunagar Mysore Kuvempunagar, Mysore","","","",true,true,false,false,true,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
"Prince Kennels","","","3.9","10 Ratings","Kuvempunagar Kuvempunagar, Mysore","","","Pets Available",true,true,false,false,false,"Pets and Animals","Hassan","Pet Training","573201","2025-06-28T14:46:41.862Z"
