"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Malnad Coaching Centre Mcc","<","","4.8","474 Ratings","Channapatna Housing Board Colony, Hassan","","08401060336","Tally Training Institutes;Correspondence Education",true,true,false,true,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.023Z"
"Global Skills","<","","4.8","52 Ratings","Talap, Kannur","","08460266264","Career Counselling Centres;Education Consultants",true,true,false,true,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.024Z"
"Admission Consultancy (myadmission.info)","<","","3.5","2 Ratings","Mysore","","08460500904","Career Counselling Centres;Internship For CSE",true,true,false,false,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.024Z"
"Asr Overseas (Abroad Education)","<","","5.0","7 Ratings","4th Cross Road T Dasarahalli, Bangalore","","09035250585","Loans;Education Consultants",true,true,false,false,false,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.025Z"
"Career Comrade Edtech","<","","5.0","103 Ratings","Main Road Kalyan Nagar, Bangalore","","08401381161","Education Consultants;Overseas Education Consultants",true,true,false,false,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.025Z"
"National Project Centre","<","","4.7","108 Ratings","Bazaar Street Namakkal Bazaar, Namakkal","","08904403484","Education Consultants;Institutes",true,true,false,false,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.026Z"
"Trusty Gulf Skills Consultancy And Services Pvt Ltd","<","","4.6","21 Ratings","Kovil Street NGGO Colony, Coimbatore","","08734824311","Overseas Education Consultants;Tutorials",true,true,false,false,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.026Z"
"Arkesh Technology Private Limited","<","","4.5","90 Ratings","Post Office Road Yelachenahalli, Bangalore","","06366932245","",true,true,false,true,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.026Z"
"Educonsultant.in","<","","4.2","167 Ratings","Bangalore Madiwala, Bangalore","","","Education Consultant Abroad Post Graduate;Education Consultants",true,true,false,false,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.027Z"
"Jnanabharati Institute Of Basic Education","<","","4.5","19 Ratings","No 231/232 Gokul, Hubli","","","Schools;English Medium Schools",true,true,false,false,true,"Education","Hassan","Educational Consultants","573201","2025-06-27T13:50:34.027Z"
