"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Jaheer Ahamad","<","","3.6","21 Ratings","Salagame Road Avk College Road, Hassan","","08460408660","GST Return;TDS Return;Income Tax Return",true,true,false,false,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"B N Ramesh & Co","<","","5.0","4 Ratings","Shankar Mutt Rd Kr Puram Hassan, Hassan","","","GST Return;TDS Return;Income Tax Return",false,true,false,true,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"Kndc and Associates LLP","<","","4.7","37 Ratings","GHS Road Hampankatta, Mangalore","","","Licence;GST Return;TDS Return",true,true,false,true,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"Mohit Mahajan & Co.","<","","3.9","38 Ratings","Koppikar Road Koppikar Road, Hubli","","","GST Return;TDS Return;Income Tax Return",true,true,false,false,false,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"Yatesh Renuke & Company","<","","4.4","23 Ratings","Erandwane Kothrud, Pune","","08460426416","GST Return;TDS Return;Income Tax Return",true,true,false,true,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"Yogita S And Company","<","","4.7","35 Ratings","Thane Bhiwandi Road Kasheli, Bhiwandi","","07795682280","Accounting;GST Return;TDS Return",true,true,false,false,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"Mithlesh Pardhi & Co","<","","4.2","366 Ratings","Jaitala Road Jaitala Road, Nagpur","","08511513986","GST Return;TDS Return;Income Tax Return",true,true,false,true,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"B R A H M & Associates","<","","4.2","49 Ratings","Jamnagar HO, Jamnagar","","","Accounting;GST Return;NRI ITR Filing",true,true,false,false,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"TKSA SERVICES PVT LTD","<","","3.5","2 Ratings","Government Place East Esplanade, Kolkata","","08904955304","Licence;GST Return;NRI ITR Filing",true,true,false,false,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
"Arpit Gupta & Co","<","","4.1","158 Ratings","Westend Marg Saket, Delhi","","","Accounting;GST Return;NRI ITR Filing",true,true,false,false,true,"Professional Business Services","Hassan","Chartered Accountants","573201","2025-06-27T10:47:21.083Z"
