"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Motilal Oswal Financial Service Ltd","<","","4.4","7 Ratings","Hassan","","07947423832","Intraday Trading;Currency Derivative;Share Investment",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.9","2,250 Ratings","Hassan","","18001021616,09289043720,08175231010,08175-231010","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.9","1,804 Ratings","Hassan","","08175274029","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.9","1,233 Ratings","Sakleshpur","","09289246329","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.9","1,233 Ratings","Sakleshpur","","","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.9","937 Ratings","Hassan","","9986685376","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","5.0","876 Ratings","Hassan","","87142311801","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.9","780 Ratings","Hassan","","8175272145","Wheel Chair Accessible Entrance And Exit;Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.824Z"
"Muthoot Fincorp Ltd","<","","4.8","763 Ratings","Hassan","","81742230041","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.825Z"
"Muthoot Fincorp Ltd","<","","5.0","657 Ratings","Hassan","","9289299674","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.825Z"
"Muthoot Fincorp Ltd.","+","","4.8","678 Ratings","Hassan","","7947424615","Wheel Chair Accessible Entrance And Exit",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.825Z"
"Muthoot Fincorp Ltd","+","","5.0","628 Ratings","Hassan","","","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.825Z"
"Muthoot Fincorp Ltd","+","","5.0","538 Ratings","Hassan","","","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.825Z"
"Muthoot Fincorp Ltd","+","","4.9","545 Ratings","Hassan","","","Demat Account",true,false,false,false,true,"Financial Services","Hassan","Banks, Loan Agencies, Insurance Agencies, Investment Services","573201","2025-06-26T10:04:33.825Z"
