"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Advaitha Financial Services","<","","4.9","44 Ratings","Northern Extension Rangoli Halla, Hassan","","7947131040","Business Loans;Personal Loans",true,false,false,true,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.165Z"
"HDB Financial Services Ltd","<","","4.4","48 Ratings","Bm Road, Hassan","","18002707000","Personal Loans-HDB Financial Services;Personal Loans",false,false,false,false,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.165Z"
"Cholamandalam Finance","<","","4.4","33 Ratings","Ammeer Mohalla Bm Road, Hassan","","7947121990","Loans;Home Loans",true,false,false,false,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"Hassan Credit & Investment Corporation","<","","4.2","6 Ratings","N Extenstion Hassan Ho, Hassan","","7942684818","Finance Companies;Credit Card Agents",true,false,false,false,false,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"The Taj Groups","<","","5.0","65 Ratings","Musthaq Complex Chikmagalur City, Chikmagalur","","08460489229","Loan Agency",true,false,false,false,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"HDB Financial Services Ltd","<","","3.9","5 Ratings","Mysore, Mysore","","9916449205","Advisory",true,false,false,false,false,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"HDB Financial Services Ltd","<","","3.4","45 Ratings","Mohalla Vijaynagar 2nd Stage, Mysore","","8095555809","Personal Loans;Finance Companies",true,false,false,false,false,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"Kaveri Credibuild","<","","4.1","8 Ratings","Hinkal, Mysore","","7947103439","Business Loans;Personal Loans",true,false,false,false,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"HDB Financial Services Ltd","<","","4.4","56 Ratings","Tension Double Hebbal 1st Stage, Mysore","","8214190035","Personal Loans;Finance Companies",false,false,false,false,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
"A Square Financial Service","<","","5.0","5 Ratings","3rd Stage Gokulam 3rd Stage, Mysore","","7947106379","Business Loans;Personal Loans",true,false,false,false,true,"Financial Services","Hassan for Expert Assistance","Credit Unions","573201","2025-06-28T13:43:20.166Z"
