"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Space Architecture","<","","4.6","53 Ratings","Kuvempu Nagar, Hassan","","7942685633","Industrial;Building",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"S V design and construction","<","","4.4","8 Ratings","Buddha Marga Vidya Nagar Hassan, Hassan","","7947104655","Interior Designers;Architects",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Nirmaan Group Of Construction","<","","5.0","6 Ratings","Vivekananda Statue Vivekanagara, Hassan","","7942682171","Building",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Sri Kalabyraveshwara Garden Works","<","","5.0","2 Ratings","Dasara Koppalu Salagame Road, Hassan","","7942691284","Garden Maintenance Services Corporate;Lawn Grass Dealers",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Rashmi Constructions","<","","5.0","1 Ratings","Mysore Road Channarayapatna, Hassan","","7947435984","Building",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Pars Traders & Consultants","<","","3.8","14 Ratings","Harangi Road Kushalnagar, Coorg","","9972514297","Earthmovers On Rent-JCB;Villas On Rent",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Blooming Buds Landscaping","<","","3.5","2 Ratings","Mysore Road Kushalnagar, Coorg","","","Landscape Contractors;Garden Landscaping Services",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Geetha Nursery","<","","4.9","27 Ratings","Guddehosur Post Kushalnagar, Coorg","","09724530653","Fruit Plant;Rubber Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Green Coorg Nursery","<","","4.9","13 Ratings","B M Road Bylakuppe, Mysore","","","Rubber Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.755Z"
"Likith hi tech nursery","<","","5.0","1 Ratings","B M Road Periyapatna, Mysore","","","Fruit Plant;Rubber Plant",false,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Sai Leela Builders & Developers","","","5.0","1 Ratings","Made Village Post Madikeri, Coorg","","","Builders;Borewell Drilling Services",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Coastal Nursery","+","","4.1","53 Ratings","Opp R M P Factory Yelwal, Mysore","","","Fruit Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Neeladri Nursery","+","","4.0","42 Ratings","Hunsur Road Hinkal, Mysore","","","Fruit Plant",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"The Dimensions","+","","4.4","31 Ratings","2nd Main road Vijaynagar Mysore, Mysore","","","Industrial;Building",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Lokis Garden Center and Land Scaping Consultant","+","","4.0","1 Ratings","Bhavana Road Jayalakshmipuram, Mysore","","","Fruit Plant",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Bhairava Nursery Garden Works","+","","4.5","17 Ratings","Main Road Vijaynagar 3rd Stage, Mysore","","08296800981","Fruit Plant;Home Delivery",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Sri Bhairaveshwara Nursery and Garden Works","+","","4.6","12 Ratings","Bhargavi Nagar Bogadi, Mysore","","","Fruit Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Sri Sharadadevi Sampath Nursery","+","","4.3","97 Ratings","Mysore Bandipalya, Mysore","","08123879777","Fruit Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"MYSORE Plants Nursery","+","","4.7","282 Ratings","Bogadi Road-Bogadi Bogadi, Mysore","","","Fruit Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"North East Properties","+","","4.5","9 Ratings","Road 10Th Cross Gangotri Layout, Mysore","","","Residential;Building",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Sasya Dhama","+","","4.6","122 Ratings","Nagar Park Niveditha Nagar, Mysore","","","Fruit Plant",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Nisarga Landscaping","","","4.9","11 Ratings","Hospital Saraswathipuram, Mysore","","","Roof Gardening Services;Gardening Services",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Fast Kraft Constructions","","","4.3","3 Ratings","Main Road Ponnampet, Coorg","","09054571806","Building",true,false,false,false,false,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
"Littlewoods Project Management Co","","","5.0","2 Ratings","Hospital Road Saraswathipuram, Mysore","","","Industrial;Building",true,false,false,false,true,"Home Services","Hassan","LandScapers","573201","2025-06-28T14:34:57.756Z"
