"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Sunil M M (Advocate and Novatry Lawyer)","<","","","","Vidya Nagar Vidhya Nagar, Hassan","","08401242675","Lawyers;Civil Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.966Z"
"Umesh Ap","<","","","","MAIN ROAD Kandali, Hassan","","","Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.966Z"
"Gururaj N Joshi","<","","","","Shree Vansree Malmaddi, Dharwad","","08123116458","Lawyers For Accident Claims;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.967Z"
"Vh Legal Consultants","<","","","","Kodungallur, Thrissur","","08460231436","Legal Consultants;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.967Z"
"Adv. R. Kudiyarasu (Legal Advisor Taico Bank)","<","","","","Alamaram Street Karur HO, Karur","","08490019497","Lawyers;Lawyers For Divorce Case",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.967Z"
"M K Jain Consultant","<","","","","Vinayaga Maisty Street Sowcarpet, Chennai","","","Licence;Accounting;GST Return",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.967Z"
"Adv. Subhash Chandra Lawyers & Associates","<","","","","Supreme Court South Tukoganj, Indore","","","Lawyers For Accident Claims;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.967Z"
"Adv. Satyendra Tiwari","<","","","","Chamber No. 203 Civil Lines, Allahabad","","07487861805","Lawyers For High Court;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.968Z"
"M B Subhrahmanyam & Associates","<","","","","Kunj Nagar Sakchi, Jamshedpur","","08401449462","Lawyers For Commercial Law;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.968Z"
"Ruchi Gupta & Associates","<","","","","Building No 13 G Kamla Nagar, Delhi","","08904953622","Lawyers;Lawyers For Supreme Court",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.968Z"
"Strengthdesk Als LLP","+","","","","Vikram Tower Rajendra Place, Delhi","","08867753551","Lawyers For Supreme Court;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.968Z"
"Adv. Mohit Yadav","+","","","","Noida Sector 37, Noida","","08401936686","Civil Lawyers;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.968Z"
"Adv.Subhash Chandra","","","","","Puri Krishna Nagar New Delhi, Delhi","","","Lawyers;Business Consultants",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.968Z"
"Adv. Sunil Singh","+","","","","New Colony Mahadeva, Siwan","","08460274959","NOC;Public Provident Fund;GST Return",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Ashoka Legal Documentation","","","","","Main Market Hadige, Hassan","","","Lawyers;Share Transfer Agents",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Lokesh H E","","","","","B.m Road Alur, Hassan","","","Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Raje Gowda J H","","","","","Hassan Bm Road, Hassan","","","Lawyers;Lawyers For Service Matters",false,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"K M Suresh","","","","","NR Circle, Hassan","","","Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Svm Law Associates","+","","","","Shankarmutt Road Kr Puram Hassan, Hassan","","","Lawyers For Accident Claims;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Srikanth Advocate","","","","","Sakleshpur, Sakleshpur","","","Lawyers For Criminal;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Vaasu Deva P","","","","","B H RoadM N Compound Arsikere, Hassan","","","Lawyers For Corporate Law;Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Hassan District Advocate Association","","","","","Rangoli Halla Bm Road, Hassan","","","Lawyers;NGOS",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"Mr Mohan D Advocate","","","","","B M Road Hassan Ho, Hassan","","","Lawyers;Civil Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
"B C M And Associates","","","","","Road Channarayapatna, Hassan","","","Lawyers",true,true,false,false,false,"Professional Business Services","Hassan","Lawyers","573201","2025-06-27T10:50:30.969Z"
