"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Shree Ramakrishna Highway Nursery","<","","4.7","36 Ratings","Bypass Road Bm Road, Hassan","","08401704044","Fruit Plant",true,true,false,true,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Maharaja Park","<","","4.1","6,842 Ratings","Rangoli Halla Maharaj Park Road, Hassan","","7947430516","Parks",true,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Holenarasipura Park","<","","4.2","668 Ratings","Holenarasipur Holenarsipur, Hassan","","7947430516","Parks",true,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Vijayanagar Park","<","","3.8","726 Ratings","Vijay Nagar Hassan Bm Road, Hassan","","","Parks",false,true,false,false,false,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Sakleshpur Lake Park (Ayyappa Swamy Temple)","<","","4.2","503 Ratings","Sakleshpur Market Road, Sakleshpur","","","Parks",false,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Sachin Tendulkar Park","<","","4.1","502 Ratings","Shankaripuram, Hassan","","","Parks",false,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Field Marshal Cariappa Park","<","","4.1","383 Ratings","Kuvempu Nagar, Hassan","","","Parks",false,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Sathyamangala Park","<","","3.8","336 Ratings","Hemavathinagar, Hassan","","","Parks",false,true,false,false,false,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.245Z"
"Shantinagar Children Park","<","","3.4","265 Ratings","Santhi Nagar, Hassan","","","Parks",false,true,false,false,false,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.246Z"
"Khb Colony Park","<","","3.6","171 Ratings","Channapatna Housing Board Colony, Hassan","","","Parks",false,true,false,false,false,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.246Z"
"Arsikere Kanthenahalli Park","","","3.7","144 Ratings","Kantenahalli Arsikere, Hassan","","","Parks",false,true,false,false,false,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.246Z"
"Sunset View Point","","","4.2","120 Ratings","Jambaradi, Hassan","","","Parks",false,true,false,false,false,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.246Z"
"Puttaswamy Nursery","","","4.9","69 Ratings","Kerodi Yeslur Hassan, Hassan","","","Parks",false,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.246Z"
"Aluvalli Waterfalls","","","4.1","70 Ratings","Aluvalli Vanagur, Hassan","","","Parks",false,true,false,false,true,"Sports and Recreation","Hassan","Parks","573201","2025-06-27T10:21:53.246Z"
