"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"R J Enterprises","<","","4.3","31 Ratings","Maharaja Park Road Hassan City, Hassan","","08460539944","CCTV Dealers-D Link;CCTV Dealers",true,false,false,true,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.268Z"
"Elite Enterprises","<","","4.8","16 Ratings","Kr Puram Hassan, Hassan","","08460299557","CCTV Dealers;CCTV Installation Services",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.269Z"
"Mahalakshmi Enterprises (Complete Fire Safety Solutions)","<","","4.4","9 Ratings","9th Cross Salagame Road, Hassan","","09035132044","Fire Extinguisher Refilling Services;Fire Extinguisher Dealers",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.269Z"
"Tech Valley Solutions","<","","4.9","14 Ratings","Salagame Road Jaya Nagar, Hassan","","08128894827","Computer Repair & Services;Computer Dealers",true,false,false,true,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.269Z"
"Hasanamba Enterprises","<","","5.0","48 Ratings","Office Panduranga Temple Road, Hassan","","08460551264","Digital",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.269Z"
"Niya IT World","<","","5.0","1 Ratings","Niya IT World Saklespur Rural, Sakleshpur","","7947142512","CCTV Dealers;CCTV Installation Services",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.269Z"
"Ity Technologies","<","","4.9","20 Ratings","1st Cross Kr Puram Hassan, Hassan","","7947111802","Ptz CCTV Dealers;CCTV Dealers",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Reliance Digital Express","<","","3.8","281 Ratings","MG Road Ravindra Nagar Hassan, Hassan","","7947425618","Delivery Available;Shop In Store;4g Internet",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Bhavani Infotronics","<","","4.0","47 Ratings","Sahyadri Circle Aralepet, Hassan","","7947117033","Mobile Phone Dealers-Samsung;Mobile Phone Dealers",true,false,false,false,false,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Hassanamba Computer Services And Cctv Installation","<","","5.0","26 Ratings","Mysore Road Mysore Road Hassan, Hassan","","","Security System Dealers",false,false,false,false,false,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Om Electronics","+","","4.4","26 Ratings","Aralikatte Road Salagame Road, Hassan","","7947123185","Free installation",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Life Security Solutions.","+","","4.8","18 Ratings","B M Road Bm Road, Hassan","","7947431431","CCTV Dealers;CCTV Installation Services",true,false,false,true,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Mikrotechnic","+","","4.9","11 Ratings","Belur Main Road Belur Road, Belur","","7947421866","Drone;IP",true,false,false,true,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
"Kwality Hardware & Steel Pipes","+","","4.9","11 Ratings","Hosaline Road Hosaline Road, Hassan","","","In Store Collect;Solar Panel Repair;Shop In Store",true,false,false,false,true,"Safety and Security","Hassan","Private Security Services,Fire Departments , Police Departments,Safety Equipment","573201","2025-06-26T13:38:38.270Z"
