"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Local Government Office Samahni","<","","3.6","5 Ratings","Samahni Dhanaka, Rajouri","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Local Government Office, Kusegaon","<","","3.0","2 Ratings","Kusegaon, Nashik","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Local Government Office","<","","0","Ratings","Rayakottah, Hosur","","7947112847","",true,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Local Government & Rural Development Office","<","","2.0","2 Ratings","Kotli Roadstaff Colony Road Ari, Jammu","","","",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Local Government & Rural Development Office","<","","4.2","4 Ratings","Charhoi Lam, Rajouri","","","",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Rta Chaibasa Commissioner Office Jharkhand Government","<","","3.9","9 Ratings","West Singhbhum","","7979722470","RTO Office",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Forest Protection Office Fathepora Ganderbal","<","","3.6","11 Ratings","Rakhi Harran Reshipora, Ganderbal","","9906909240","Forest Department",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Of Tamilnadu Tourist Office","<","","0","0 Ratings","Kovalam Road Mamallapuram, Mahabalipuram","","044-27442232","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Tahsildar Office","<","","4.2","48 Ratings","Tindivanam Salai Gingee Bazaar, Gingee","","04145-222007","Tahsildar Service Office",false,false,false,false,true,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Agriculture Office","<","","4.4","24 Ratings","Supaul Bazar, Supaul","","","Associations Of Agricultural",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Tahsildar Office","","","4.0","62 Ratings","Bye Pass Road Pattabiramapuram, Tiruttani","","9445000492","Government Organisations;Tahsildar Service Office",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Forest Office","","","4.2","13 Ratings","Lachipeta, Malkangiri","","","Forests",false,false,false,false,true,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Commercial Tax Office","","","0","0 Ratings","Kumbakonam Road Kamaraj Nagar, Panruti","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Electricity Office","","","2.8","31 Ratings","Agrasen Bhawan Road, Jhumritelaiya","","7942676196","Sports Goods Dealers",true,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Commercial Tax Divisional Office","","","3.0","1 Ratings","Madurai Road, Virudhunagar","","7947109111","GST Registration Consultants",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Esi Local Office","+","","3.8","18 Ratings","Ajjarakadu Brahmagiri, Udupi","","8202523987","",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Commercial Tax Office","","","4.0","2 Ratings","Junction Road College Nagar, Vriddhachalam","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"ESI Corporation Local Office","","","3.7","3 Ratings","T.c. Road Thalassery Ho, Thalassery","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Commercial Tax Office","","","0","0 Ratings","Tirupur Main Road Kangayam Ho, Kangayam","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Office Of The Commissioner Of Labour","","","5.0","2 Ratings","Darga Road New Mondha, Parbhani","","","Government Organisations",false,false,false,false,true,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Integrated Tribal Development Project Government Office","","","3.9","14 Ratings","Shahada Road Taloda Nandurbar, Nandurbar","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Commercial Tax Office","","","0","0 Ratings","Nehru Theru Tindivanam Ho, Tindivanam","","","Government Organisations",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"Government Commercial Tax Office","","","3.8","18 Ratings","1st Main Road Alagesan Nagar, Chengalpattu","","","GST Registration Consultants",false,false,false,false,false,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
"State Bank Of India","+","","4.6","264 Ratings","G S Road Dispur, Guwahati","","","Wheel Chair Accessible Entrance And Exit",false,false,false,false,true,"Goverment and Community","Hassan","Local Government Offices","573201","2025-06-28T13:53:04.166Z"
