"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Mobile Sales and Repair and Service","<","","0","0 Ratings","Vidyaranyapura, Bangalore","","7947420520","Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.568Z"
"Mobile Studio - Mobile & Laptop Repair Sales & Service","<","","4.8","132 Ratings","29th Main Road Btm Layout, Bangalore","","7947115295","Mobile Phone Repair & Services",true,false,false,false,true,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.568Z"
"The Mobile Doctor Bar Sales And Repair","<","","0","0 Ratings","6th Cross Road Kalyan Nagar, Bangalore","","7947142609","Mobile Phone Repair & Services;Electronic Goods Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.568Z"
"Vapfix Laptop And Mobile Repair Sales & Services","<","","4.6","70 Ratings","Neeladri Road Electronic City, Bangalore","","","Computer Repair & Services",false,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.568Z"
"Mobile Point Sales And Services","<","","3.7","101 Ratings","Sarjapura Main Road Bellandur, Bangalore","","7942700203","Mobile Phone Repair & Services;Mobile Phone Repair & Services-Samsung",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Sales & Service","<","","5.0","1 Ratings","Bommasandra Industrial Area, Bangalore","","","Mobile Phone Repair & Services;Mobile Phone Dealers",false,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Web Sales And Services","<","","5.0","1 Ratings","6th Cross Basaveshwara Nagar, Bangalore","","7947126591","Mobile Phone Repair & Services-Xolo;Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Shop Sales Service Accessories","<","","0","0 Ratings","7th Main Basaveshwara Nagar, Bangalore","","7947419702","Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Accessories Sale And Repairing Shop","<","","4.0","2 Ratings","Dhodar Ali Road Salikihaat, Golaghat","","7947120850","Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile World Sale And Repair","<","","0","0 Ratings","Haridwar Road Dharampur, Dehradun","","","Mobile Phone Dealers;Mobile Phone Repair & Services",false,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Shop Sale And Repairing","","","0","0 Ratings","Balewadi Baner, Pune","","","Mobile Phone Dealers",false,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile shop repair and sale","","","0","0 Ratings","Antah","","7942685909","Mobile Phone Dealers;Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Repair Course","","","4.3","9 Ratings","G Ramaiah Layout, Bangalore","","","Training Centres",false,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile Repair Hub","","","3.5","4 Ratings","Uttari Road, Bangalore","","7947411839","Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.569Z"
"Mobile World Repair And Service","+","","4.9","199 Ratings","Yelahanka, Bangalore","","","Mobile Phone Repair & Services;Mobile Phone Repair & Services-Samsung",true,false,false,false,true,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Venus Telelinks","+","","4.8","388 Ratings","Tulasi Theater Road Marathahalli, Bangalore","","","Landline Phone Repair & Services;Mobile Phone Repair & Services",true,false,false,false,true,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Mobile Broken Screen Repair Center","+","","0","0 Ratings","4th Block Rajajinagar, Bangalore","","","Mobile Phone Repair & Services;Mobile Phone Repair & Services-Samsung",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Mobile Repair Central","+","","4.8","30 Ratings","South Avenue, Bangalore","","","Mobile Phone Repair & Services;Electronic Goods Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Mobile World Basic & Chip Level Mobile Repair Training Institute","","","4.9","21 Ratings","Nagar Main Road Dodda Banaswadi, Bangalore","","","Mobile Phone Repair & Services;Electronic Goods Repair & Services",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Mobile Repair (Star Mobile Care)","","","0","0 Ratings","Main Road Electronic City, Bangalore","","","Mobile Phone Repair & Services;Mobile Phone Repair & Services-Samsung",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Mobile Repair And Accessories","","","3.9","8 Ratings","Varthur Road Varthur, Bangalore","","","Mobile Phone Dealers",false,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
"Mobile Repair Zone","+","","0","0 Ratings","Circle Rajajinagar 5th Block, Bangalore","","","Mobile Phone Repair & Services;Mobile Phone Repair & Services-Samsung",true,false,false,false,false,"Computers and Mobile","Bangalore","Mobile Sales And Repair","573201","2025-06-27T11:59:12.570Z"
