"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Professional Business World","<","","4.9","6 Ratings","Bijlipura Bijlipura, Shahjahanpur","","7942682354","Digital Marketing Services;Online Shopping Websites",true,false,false,false,true,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.516Z"
"Professional Business Service","<","","4.0","29 Ratings","4th Main 4th Cross Batawadi, Tumkur","","7947431289","Domestic Courier;International Courier",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.516Z"
"Professional Business Link","<","","5.0","2 Ratings","Pallipattu-Tharamani, Chennai","","7942693599","",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional And Business Point","<","","0","0 Ratings","Triveni Nagar, Lucknow","","7947423406","GST Registration Consultants",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional & Business Point","<","","5.0","1 Ratings","Triveni Nagar, Lucknow","","7947421880","GST Registration Consultants",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional Business Solutions","<","","0","0 Ratings","14/29B Tilak Nagar, Delhi","","7947120286","Management Institutes;Business Management Institutes",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional Business Consultant","<","","0","0 Ratings","Alpha 1-Greater Noida, Greater Noida","","7942681073","Direct Sales Agencies For Home Loans-ICICI;Loans",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional Allied Business Syndicate","<","","0","0 Ratings","Namghar Path Dispur, Guwahati","","7947104064","Online Placement",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional Study Of Economics & Business Management","<","","0","0 Ratings","E-140 Lajpat Nagar, Delhi","","","Tutorials For Economics;Management Institutes",false,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional Courses","<","","4.5","1 Ratings","Btm Layout 1st Stage, Bangalore","","","PMP Certification Training Centres",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"Professional Career Consultants","","","0","0 Ratings","Rajaram Mohan Roy Road, Bangalore","","7942682510","Placement Services (For Employers)",false,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"The Professional Couriers (Customer Care)","","","3.6","2,166 Ratings","No. 57 Mission Road, Bangalore","","","Corporate Courier",false,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"The Professional Couriers","+","","3.6","4,897 Ratings","Malleswaram West, Bangalore","","","Domestic Courier;International Courier",true,false,false,false,false,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
"The Professional Couriers","+","","4.0","549 Ratings","3rd Stage Rajarajeshwari Nagar, Bangalore","","","Domestic Courier;International Courier;Cargo Service",true,false,false,false,true,"Professional Business Services","Hassan","Charatered Accountants,Lawyers, Marketing Agencies,Business Consultants","573201","2025-06-26T10:31:47.517Z"
