"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Software Solutions","<","","5.0","94 Ratings","Majitha Road Gopal Nagar, Amritsar","","08460297950","On Site Services;Outdoor Services;Pay Ahead",true,false,false,false,true,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.994Z"
"Rankbook Learning & Software Solutions Pvt. Ltd.","<","","4.8","52 Ratings","Race Race Course Road Hassan, Hassan","","7947111281","Education Consultants;Online Tutorials",true,false,false,false,true,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Solver Solutions Gst Erp Software Company","<","","0","0 Ratings","Marg Road Mother Teresa Road, Hassan","","7947419454","Software Companies",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Solver Solutions Gst Erp Software Company","<","","5.0","1 Ratings","Renukamba Road Channarayapatna, Hassan","","7947126836","Software Companies",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Extelligence Software Solutions","<","","0","0 Ratings","Salagame Rd- Hassan Ho, Hassan","","7947418336","Computer Software Dealers",false,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Software Solutions","<","","4.9","73 Ratings","Dr B Barooah Road Ulubari, Guwahati","","","",true,false,false,false,true,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Software Solutions Salem","<","","3.0","2 Ratings","Prathanasalai Alagapurampudur, Salem","","","Computer Software Developers For Business Accounting;Internet Website Designers",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Software Solutions","<","","0","0 Ratings","Subhash Bazar Road, Meerut","","","Computer Repair & Services",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.995Z"
"Software Solution Cctv Camera Rk","<","","4.9","28 Ratings","Railway Sta Road Sadulpur, Churu","","","Electronic Equipment Exporters",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.996Z"
"Software Solution","<","","5.0","2 Ratings","O Agwanpur, Saharsa","","","Computer Repair & Services",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.996Z"
"The Software Solution","+","","4.8","15 Ratings","Nagar Palika Betul H O, Betul","","","Customised Accounting Computer Software Dealers;Customised Accounting Computer Software Dealers-Busy",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.996Z"
"Software Solutions","","","0","0 Ratings","Main Road Srivilliputhur North, Srivilliputtur","","","Internet Website Developers;Computer Software Developers",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.996Z"
"Software Solution","","","4.3","6 Ratings","Sector 22c Mandigobindgarh, Fatehgarh Sahib","","","Electronic Goods Showrooms",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution","","","4.6","5 Ratings","Safapora, Baramulla","","","Software Companies",false,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"The Software Solution","","","4.9","26 Ratings","Puliya Road M P Nagar, Bhopal","","","Computer Software Dealers;Internet Website Developers",true,false,false,false,true,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution","","","4.0","11 Ratings","Tanga Koot, Gadag","","","Jewellery Tag Wholesalers;Audio Speaker Wholesalers-JBL",true,false,false,true,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution","","","2.7","4 Ratings","Maan Nagar, Jhunjhunu","","","Software Companies",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution Group","","","4.1","6 Ratings","Uttorayon, Siliguri","","","2D Animation Training Institutes;Computer Training Institutes",false,false,false,false,true,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solutions","","","4.5","4 Ratings","Baghauch Baghauchghat, Deoria","","","Computer Repair & Services",false,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution & Mobile Reparing","","","3.6","3 Ratings","Meerganj, Khalilabad","","","",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solutions","+","","4.0","2 Ratings","Trunk Road Tda Central Plaza, Tinsukia","","","Mobile Phone Repair & Services",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution's","+","","4.2","45 Ratings","G E Road Raipur HO, Raipur-Chhattisgarh","","","Inventory Management Computer Software Dealers;Computer Software Dealers",true,false,false,false,true,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solutions","","","3.7","8 Ratings","Kurhalguri, Golaghat","","","",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
"Software Solution","","","4.6","5 Ratings","Doraha, Bazpur","","","Software Companies",true,false,false,false,false,"Computers and Mobile","Hassan","Software Solutions","573201","2025-06-30T07:32:10.997Z"
