"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Cosmopolitan Sports Club","<","","4.2","101 Ratings","B M Road Sakleshpur, Sakleshpur","","7942691339","Activity Clubs;Sports Clubs",false,false,false,false,true,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.099Z"
"Malnad Cricket Club","<","","4.7","69 Ratings","Rangoli Halla Rangoli Halla, Hassan","","7947435703","Cricket Clubs;Cricket Coaching Classes",true,false,false,false,true,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Rebellions Sports Arena","<","","4.4","48 Ratings","Temple Road Shankaripuram, Hassan","","","Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Elite Sports Club","<","","4.4","41 Ratings","Rangoli Halla, Hassan","","7942696056","Sports Clubs;Clubs",true,false,false,false,true,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Capture Yagachi Aqua Sports","<","","4.2","21 Ratings","Nehru Circle, Halebeedu","","7947131976","Sports Clubs",true,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Thaanya Badminton Academy","<","","4.7","17 Ratings","Batlar Koppalu, Hassan","","","Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Unicorn","<","","4.5","16 Ratings","Chikka Honnenahalli, Hassan","","","Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"A1 Sports Academy","<","","4.5","16 Ratings","Police Quarters, Hassan","","","Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Hassanamba Gymnastics","<","","4.4","15 Ratings","Salagame Road, Hassan","","7947125751","Gymnastics Clubs;Clubs",true,false,false,false,true,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.100Z"
"Hasanamba Kabaddi Club","<","","3.8","9 Ratings","Stadium Salagame Road, Hassan","","","Clubs;Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.101Z"
"Sahara Sports Club","","","3.6","9 Ratings","2nd Cross Hassan Ho, Hassan","","7947429251","Sports Clubs;Cricket Coaching Classes",true,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.101Z"
"Aloka Sports","","","4.6","6 Ratings","Kallayan Vidya Nagar Hassan, Hassan","","7942676952","Sports Goods Dealers;Volleyball Dealers",true,false,false,false,true,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.101Z"
"Ksrp Firing Range","","","4.5","6 Ratings","Idalla Kaval, Hassan","","","Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.101Z"
"Malnad Cricket Academy","","","4.6","5 Ratings","Gulsinda, Hassan","","","Sports Clubs",false,false,false,false,false,"Sports and Recreation","Hassan","Sports Leagues","573201","2025-06-27T10:14:14.101Z"
