"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Jnanasagara International Public School","<","","4.5","312 Ratings","Nagasamudra Road Channarayapatna, Hassan","","08401132464","Public Schools;Schools",true,true,false,true,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.569Z"
"Subash Childern School","<","","4.0","4 Ratings","Hemavathi Nagar, Hassan","","08511762515","Schools;Pre Schools",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.570Z"
"Holy Mount School","<","","4.7","21 Ratings","Race Race Course Road Hassan, Hassan","","08460536395","Co-ed;Student Teacher Ratio-85:1;State Board",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.571Z"
"SLV International School","<","","5.0","20 Ratings","Kandali Bylahalli Road Kandali, Hassan","","7942684227","Schools;English Medium Schools",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.571Z"
"Bright Kid Montessori House","<","","4.7","8 Ratings","Karigowda Colony Bm Road, Hassan","","7947434601","Co-ed",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.572Z"
"Olympus School","<","","5.0","5 Ratings","Pump House Road Sakleshpur, Sakleshpur","","7947122141","Co-ed;CBSE;ICSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.572Z"
"Shalini International School","<","","4.5","50 Ratings","Channarayapatna, Hassan","","7942679789","Co-ed",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.572Z"
"HKS INTERNATIONAL SCHOOL","<","","4.2","215 Ratings","B.M. Road Bm Road, Hassan","","","CBSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.573Z"
"Jawahar Navodaya Vidyalaya Hassan","<","","4.6","154 Ratings","Amanichikkere Holenarsipur, Hassan","","7942677565","English Medium Schools;Boarding Schools",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.573Z"
"Vijaya English School","<","","4.3","136 Ratings","MG road Kr Puram Hassan, Hassan","","7942677597","Co-ed;Student Teacher Ratio-23:1;State Board",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.573Z"
"United Academy","","","4.5","120 Ratings","Karigowda Colony, Hassan","","","Primary Schools;Institutes",false,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.573Z"
"Vidya Soudha Public School","","","4.5","113 Ratings","Bm Road, Hassan","","","Co-ed;ICSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.573Z"
"Brillent Public School","+","","4.0","121 Ratings","Last Stage Hemavathinagar, Hassan","","","Co-ed;CBSE;Student Teacher Ratio-29:1",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.574Z"
"Hassan Public School","+","","4.1","115 Ratings","Sathyamangala Salagame Road, Hassan","","","Co-ed;CBSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.574Z"
"Ananth International School","+","","4.4","87 Ratings","B S Road Arsikere, Hassan","","","Co-ed;ICSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.574Z"
"Poorna Prajna Education Center","","","4.4","85 Ratings","Venkatagirikote Road Belur, Belur","","","CBSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.574Z"
"Rotary Public School","+","","4.5","57 Ratings","Sakleshpur","","","Co-ed",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.574Z"
"St Mary'S High School","","","4.3","55 Ratings","Arsikere, Hassan","","","Co-ed;State Board",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.575Z"
"Adarsha Vidyalaya","","","4.4","52 Ratings","Mangalapura Holenarsipur, Hassan","","","Schools;Primary Schools",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.575Z"
"Sri Adichunchanagiri English School","+","","4.4","50 Ratings","Mg Road Mg Road Hassan, Hassan","","","Co-ed",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.575Z"
"Bethesda Model School","","","4.7","46 Ratings","Byrapura Alur, Hassan","","","Schools;Primary Schools",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.575Z"
"G M Memorial School","","","4.0","50 Ratings","Hunsinakere Layout tippu nagar, Hassan","","","Schools;Primary Schools",true,true,false,false,false,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.575Z"
"Gurukula International School","","","4.2","47 Ratings","Byragondana Halli Hassan HO, Hassan","","","Co-ed;CBSE;Student Teacher Ratio-41:1",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.576Z"
"Shree Vidyapeeta Public School.","+","","5.0","33 Ratings","Dudda RS Dudda, Hassan","","","Co-ed;CBSE",true,true,false,false,true,"Education","Hassan","Schools (primary, secondary)","573201","2025-06-27T13:29:18.576Z"
