"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Sri Vinayaka Tours and Travels","<","","4.1","188 Ratings","R C Road Hassan Ho, Hassan","","07383156927","",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.759Z"
"Diamond Taxi","<","","4.6","234 Ratings","Sakleshpur, Sakleshpur","","08401853368","Car Rental;Travel Agents",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.760Z"
"Diya Tours And Travels","<","","4.7","51 Ratings","Bangalore Road Channarayapatna, Hassan","","08487021127","Car Rental;Travel Agents",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.760Z"
"Sri Hassanambha Travels","<","","5.0","1 Ratings","B M Road Channapatna Extension, Hassan","","08460488503","",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.760Z"
"Sri Annapurneshwari Travels","<","","4.8","9 Ratings","8th E Cross Santhi Nagar, Hassan","","07041672063","Car Rental;Travel Agents",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"M S Travels","<","","4.9","39 Ratings","Vidhanasouda Road Kuvempu Nagar, Hassan","","06366960409","Bus Services;Car Rental;Group Travel",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Niriksha Tours & Travels","<","","4.8","40 Ratings","Vidhya Nagar MG Road Hassan, Hassan","","09054538712","Corporate Travel",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Travel Easy","<","","4.3","42 Ratings","R Race Course Road Hassan, Hassan","","08460526029","Visa Assistance;Car Rental",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Hasanamba Tourism","<","","5.0","5 Ratings","Park Road Hemavathinagar, Hassan","","08105383244","",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Ayyappas Tours and Travels","<","","4.7","27 Ratings","Bm Road Sakleshpur, Sakleshpur","","08485984124","Car Rental;Travel Agents",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Thulsi Thanmaya Tourist","","","2.5","2 Ratings","Arsikere, Hassan","","09845456931","Travel Agents;Car Rental",true,true,false,false,false,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Sakleshpur Punarvi Taxi Service","+","","5.0","37 Ratings","New Bus Sakleshpur Market Road, Sakleshpur","","09606271389","",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Deeksha Tours and Travels and Self Drive Rent Cars","","","4.3","6 Ratings","Bm Road, Hassan","","08147424224","Car Rental For Self Driven;Car Rental",true,true,false,false,false,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Rudreshwara Travels","+","","4.2","62 Ratings","MG Road Kr Puram Hassan, Hassan","","08401761124","Bus Ticketing Agents;Travel Agents",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Kanaka Travels","+","","5.0","109 Ratings","Shop No 5 Main Road Arsikere, Hassan","","08460417511","Travel Agents;Car Rental",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.761Z"
"Divine Yatri Tour & Travels","+","","5.0","26 Ratings","CMO Lane Kabir Nagar, Varanasi","","08511409467","",true,true,false,false,false,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Lrm Tours","+","","4.2","322 Ratings","Khojwa Bazar, Varanasi","","07043915836","Tour Packages;Travel Agents",true,true,false,true,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Via.com","+","","4.0","603 Ratings","Delhi","","","Travel Agents;Online Websites",false,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Incredible Tours & Travels","+","","4.1","720 Ratings","Old Court Road Chowk Bazar, Solan","","","Corporate Travel",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Kanasu Holidays","+","","4.4","10 Ratings","Park Opposite Kr Puram Hassan, Hassan","","","Car Rental;Travel Agents",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Vikas Travels","+","","3.9","4 Ratings","Channapatna Extension, Hassan","","","",true,true,false,false,false,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"B R Tour and Travels","","","4.9","49 Ratings","Sakaleshapur Sakleshpur, Sakleshpur","","","Corporate Travel",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Shree Chamundeshwari Enterprises & MLK Tour and Travels","+","","5.0","5 Ratings","Ring Roadroad Hemavathinagar, Hassan","","","Travel Agents;Car Rental",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
"Sakleshpur All Tourism Cab Service","+","","5.0","4 Ratings","7th Cross Sakleshpur Market Road, Sakleshpur","","","Car Rental;Travel Agents",true,true,false,false,true,"Travel and Transportation","Hassan","Travel Agencies","573201","2025-06-28T15:52:29.762Z"
