"name","initial","imageUrl","rating","totalRatings","address","distance","phone","tags","hasWhatsApp","hasEnquiry","isTrusted","isVerified","isPopular","category","city","subcategory","pincode","timestamp"
"Activ - I Pest Solution","<","","4.9","12 Ratings","Hotel Road Kr Puram Hassan, Hassan","","08511369503","Pest Control Services;Pest Control Services For Honey Bees",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.267Z"
"S S Marketing","<","","4.4","22 Ratings","80feet Pension Mohalla, Hassan","","09972233663","Aluminium Sliding Door Dealers",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Anu Pest Control","<","","4.9","23 Ratings","Bus Bus Stand Road Hassan, Hassan","","07041546598","Cleaning Services;Pest Control Services",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Blue Line Pest Control Hassan","<","","4.9","102 Ratings","Channapatna Extension, Hassan","","09980255775","Pest Control Services For Snakes;Pest Control Services",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Transparent Pest Control","<","","4.6","55 Ratings","Sanmarg Nagar Airport Road Hubli, Hubli","","08401209692","24 Hours",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Southland Group Of Companies","<","","4.1","116 Ratings","PAPPANAICKENPALAYAM Gandhipuram, Coimbatore","","07022607720","Waterproofing;Wall Tiles",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Misckin Pest Management Co","<","","4.8","177 Ratings","Gunj Road Gunj Road Raichur, Raichur","","08460536134","Commercial Pest Control Services;Waterproofing Contractors",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Fumigation Services Pvt Ltd","<","","4.3","122 Ratings","Buddu Street Parrys, Chennai","","08460425863","Residential Pest Control Services;Pest Control Services",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Ingle Pest Control","<","","4.1","46 Ratings","Jain Colony Ekta Nagar Karond, Bhopal","","08401133470","24 Hours",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Total Solution & Pest Control Service","<","","4.8","1,094 Ratings","M G Road Bhawar Kuan, Indore","","08511358979","24 Hours",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"Active Pest Control","","","4.3","9 Ratings","Prakash Nagar Krishna Nagar, Mathura","","08401673962","Fumigant Wholesalers;Pest Control Services",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.268Z"
"City Clap","+","","4.0","664 Ratings","Main Road Namkum, Ranchi","","","",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.269Z"
"Vu Care Services","","","5.0","3 Ratings","Mallandur Road Mallandur Road, Chikmagalur","","08460241526","24 Hours",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.269Z"
"Assured Herbal Pest Control Services","","","4.9","8 Ratings","No 344 Lyice Villa Kushalnagar, Coorg","","","Commercial Pest Control Services;Cleaning Services",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.269Z"
"Nisarga Enterprises","","","5.0","1 Ratings","Coorg Madikeri, Coorg","","08460421273","Pest Control Services;Residential Pest Control Services",true,true,false,true,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.269Z"
"Sai Herbal Pest Control Services (Since 1994)","+","","4.3","6 Ratings","Railway Layout Vijaynagar Mysore, Mysore","","","24 Hours",true,true,false,false,true,"Shopping and Retail","Hassan","Pest Control","573201","2025-06-28T15:41:56.269Z"
